G3 INFLATION EXPECTATIONS,,,,,,,,,,,,
Title,Consumer inflation expectations – 1-year ahead,Business inflation expectations – 3-months ahead,Union officials' inflation expectations – 1-year ahead,Union officials' inflation expectations – 2-year ahead,Market economists' inflation expectations – 1-year ahead,Market economists' inflation expectations – 2-year ahead,Break-even 10-year inflation rate,,,,,
Mar-2005,,1.7,3.0,3.0,2.5,,2.9,,,,,
Jun-2005,,1.9,2.9,3.0,2.6,2.7,2.5,,,,,
Sep-2005,,1.6,2.8,3.0,2.7,2.5,2.8,,,,,
Dec-2005,,1.6,3.5,3.5,2.6,2.5,3.0,,,,,
Mar-2006,,1.7,3.0,3.0,2.8,2.6,3.2,,,,,
Jun-2006,,2.4,3.5,3.2,2.7,2.6,3.3,,,,,
Sep-2006,,1.8,4.2,4.0,2.7,2.5,3.3,,,,,
Dec-2006,,1.9,3.9,3.5,2.7,2.5,3.1,,,,,
Mar-2007,,1.7,3.5,3.5,2.5,2.5,3.2,,,,,
Jun-2007,,2.1,3.0,3.0,2.5,2.5,3.4,,,,,
Sep-2007,,1.9,3.0,3.0,2.7,2.7,3.4,,,,,
Dec-2007,,2.3,3.0,3.0,2.7,2.6,3.5,,,,,
Mar-2008,,2.4,3.5,3.4,3.0,2.7,3.5,,,,,
Jun-2008,,3.4,4.0,3.7,3.0,2.9,3.9,,,,,
Sep-2008,,2.5,4.0,3.6,3.3,2.8,3.4,,,,,
Dec-2008,,1.9,4.1,4.0,2.6,2.6,1.5,,,,,
Mar-2009,,0.4,3.0,3.0,2.5,2.4,2.2,,,,,
Jun-2009,,0.9,2.5,2.7,2.3,2.4,2.5,,,,,
Sep-2009,,0.9,2.5,3.0,2.3,2.5,2.4,,,,,
Dec-2009,,1.1,2.6,3.0,2.2,2.5,2.8,,,,,
Mar-2010,,1.2,3.0,3.0,2.3,2.9,3.0,,,,,
Jun-2010,,2.1,3.0,3.0,3.0,3.0,2.6,,,,,
Sep-2010,,1.2,3.0,3.2,3.2,2.8,2.6,,,,,
Dec-2010,,1.3,3.0,3.0,3.2,3.1,2.9,,,,,
Mar-2011,,1.3,3.2,3.2,3.3,3.1,2.9,,,,,
Jun-2011,,2.0,3.1,3.1,2.7,3.0,2.9,,,,,
Sep-2011,,1.0,3.2,3.2,2.6,3.4,2.6,,,,,
Dec-2011,,1.2,3.4,3.4,3.5,3.5,2.5,,,,,
Mar-2012,,1.0,3.0,3.0,3.2,2.7,2.8,,,,,
Jun-2012,,2.0,2.4,2.5,3.4,2.6,2.4,,,,,
Sep-2012,,0.8,2.0,2.5,3.4,2.7,2.5,,,,,
Dec-2012,,0.7,2.5,2.5,2.6,2.7,2.6,,,,,
Mar-2013,,0.7,2.5,2.5,2.6,2.7,2.7,,,,,
Jun-2013,,1.5,2.8,2.8,2.6,2.7,2.4,,,,,
Sep-2013,,1.1,2.5,2.5,2.6,2.6,2.4,,,,,
Dec-2013,,1.4,2.5,2.5,2.6,2.5,2.6,,,,,
Mar-2014,,1.1,2.8,2.8,2.5,2.6,2.6,,,,,
Jun-2014,,1.5,2.8,2.9,2.6,2.7,2.5,,,,,
Sep-2014,,0.8,2.9,3.0,2.4,2.8,2.4,,,,,
Dec-2014,,1.2,2.6,2.5,2.7,2.8,2.3,,,,,
Mar-2015,3.2,1.4,2.0,2.3,2.3,2.7,2.3,,,,,
Jun-2015,3.0,1.4,2.2,2.4,2.8,2.7,2.3,,,,,
Sep-2015,3.2,0.9,2.0,2.4,2.6,2.7,2.2,,,,,
Dec-2015,4.0,0.9,2.1,2.3,2.5,2.6,2.2,,,,,
Mar-2016,3.4,0.8,1.8,2.1,2.2,2.5,2.0,,,,,
Jun-2016,3.5,1.0,2.0,2.4,2.5,2.5,1.6,,,,,
Sep-2016,3.3,0.8,1.5,2.0,2.0,2.1,1.6,,,,,
Dec-2016,3.4,1.1,1.8,2.0,2.1,2.2,2.0,,,,,
Mar-2017,4.0,1.1,1.7,1.8,2.2,2.3,2.0,,,,,
Jun-2017,3.6,1.6,2.3,2.4,2.2,2.2,1.9,,,,,
Sep-2017,3.8,0.8,2.0,2.5,2.4,2.4,1.8,,,,,
Dec-2017,3.7,1.2,2.0,2.1,2.3,2.4,1.9,,,,,
Mar-2018,3.7,1.4,2.0,2.3,2.3,2.4,1.9,,,,,
Jun-2018,4.2,2.0,2.2,2.3,2.2,2.4,2.0,,,,,
Sep-2018,4.0,1.1,2.2,2.3,2.2,2.3,1.9,,,,,
Dec-2018,4.0,1.3,2.0,2.3,2.2,2.2,1.6,,,,,
Mar-2019,4.1,1.0,1.9,2.2,2.2,2.4,1.4,,,,,
Jun-2019,3.3,1.7,2.0,2.0,2.0,2.1,1.4,,,,,
Sep-2019,,,1.8,2.0,1.9,2.0,,,,,,
Dec-2019,,,,,,,,,,,,
Mar-2020,,,,,,,,,,,,
Jun-2020,,,,,,,,,,,,
